"","Title","Year","Length","Budget","LogBudget"
"1421","Dumb and Dumberer: When Harry Met Lloyd",2003,85,"19000000",7.27875360095283
"1422","Dumbo",1941,64,"950000",5.97772360528885
"1423","Dune",1984,190,"45000000",7.65321251377534
"1424","Dungeons & Dragons",2000,107,"35000000",7.54406804435028
"1425","Duplex",2003,89,"40000000",7.60205999132796
"1426","Dusting Cliff 7",1996,95,"1300000",6.11394335230684
"1427","Dying Gaul, The",2005,101,"4000000",6.60205999132796
"1428","DysFunktional Family",2003,89,"3000000",6.47712125471966
"1429","E-mail",2000,109,"1000000",6
"1430","E.T. the Extra-Terrestrial",1982,120,"10500000",7.02118929906994
"1431","Eagle Has Landed, The",1976,131,"6000000",6.77815125038364
"1432","Earl's Your Uncle",2004,19,"10000",4
"1433","Earth Girls Are Easy",1988,100,"10000000",7
"1434","Earthquake",1974,140,"7000000",6.84509804001426
"1435","East of Hope Street",1998,88,"100000",5
"1436","Easter Parade",1948,107,"2503654",6.39857431005218
"1437","Easy Rider",1969,94,"340000",5.53147891704226
"1438","Eat My Dust!",1976,89,"300000",5.47712125471966
"1439","Eating",2005,13,"60000",4.77815125038364
"1440","Eating Out",2004,90,"50000",4.69897000433602
"1441","Eating Raoul",1982,87,"350000",5.54406804435028
"1442","Eban and Charley",2000,86,"30000",4.47712125471966
"1443","Ed Mort",1997,102,"1500000",6.17609125905568
"1444","Ed Wood",1994,127,"18000000",7.25527250510331
"1445","Ed and His Dead Mother",1993,86,"1800000",6.25527250510331
"1446","Eddie",1996,100,"30000000",7.47712125471966
"1447","Edge of Eternity",1959,80,"700000",5.84509804001426
"1448","Edgeplay",2004,110,"80000",4.90308998699194
"1449","Edges of the Lord",2001,95,"7500000",6.8750612633917
"1450","Edmund",2004,18,"10000",4
"1451","Edtv",1999,122,"60000000",7.77815125038364
"1452","Edward Scissorhands",1990,105,"20000000",7.30102999566398
"1453","Eegah",1962,90,"15000",4.17609125905568
"1454","Egyptian, The",1954,139,"5000000",6.69897000433602
"1455","Ehad Mishelanu",1989,110,"500000",5.69897000433602
"1456","Eight Legged Freaks",2002,99,"30000000",7.47712125471966
"1457","Eight Men Out",1988,119,"6000000",6.77815125038364
"1458","Eighteenth Angel, The",1998,95,"25000000",7.39794000867204
"1459","El Cid",1961,182,"6250000",6.79588001734407
"1460","Election",1999,103,"8500000",6.92941892571429
"1461","Elegante, El",2003,17,"2500",3.39794000867204
"1462","Elektra",2005,96,"43000000",7.63346845557959
"1463","Elephant",2003,81,"3000000",6.47712125471966
"1464","Elephant Man, The",1980,124,"5000000",6.69897000433602
"1465","Elephant's Egg, The",2004,15,"30000",4.47712125471966
"1466","Elevator Movie",2004,95,"25000",4.39794000867204
"1467","Elf",2003,95,"33000000",7.51851393987789
"1468","Elizabeth",1998,124,"25000000",7.39794000867204
"1469","Ella Enchanted",2004,96,"35000000",7.54406804435028
"1470","Elliot Flies",2003,13,"1000",3
"1471","Elmer Gantry",1960,146,"3000000",6.47712125471966
"1472","Elvira's Haunted Hills",2001,90,"1500000",6.17609125905568
"1473","Elvira, Mistress of the Dark",1988,96,"20000000",7.30102999566398
"1474","Embalmer, The",1996,85,"50000",4.69897000433602
"1475","Embrace of the Vampire",1994,93,"800000",5.90308998699194
"1476","Emma",1996,121,"6000000",6.77815125038364
"1477","Emmett's Mark",2002,104,"4500000",6.65321251377534
"1478","Emperor Jones, The",1933,80,"250000",5.39794000867204
"1479","Emperor Waltz, The",1948,110,"4070248",6.60962087157171
"1480","Emperor's Club, The",2002,109,"12500000",7.09691001300806
"1481","Emperor's New Groove, The",2000,78,"100000000",8
"1482","Empire",2002,90,"3500000",6.54406804435028
"1483","Empire of the Sun",1987,154,"38000000",7.57978359661681
"1484","Employees' Entrance",1933,75,"188000",5.27415784926368
"1485","Empty Building, The",2004,40,"170000",5.23044892137827
"1486","En la puta vida",2001,103,"1500000",6.17609125905568
"1487","End of Days",1999,121,"83000000",7.91907809237607
"1488","End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",2004,78,"60000",4.77815125038364
"1489","End of Violence, The",1997,122,"5000000",6.69897000433602
"1490","End of the Affair, The",1999,102,"23000000",7.36172783601759
"1491","Enemy at the Gates",2001,131,"70000000",7.84509804001426
"1492","Enemy of the State",1998,131,"90000000",7.95424250943933
"1493","Enemy, The",2003,34,"250000",5.39794000867204
"1494","English Patient, The",1996,160,"27000000",7.43136376415899
"1495","Enough",2002,115,"38000000",7.57978359661681
"1496","Enraged New World, An",2002,50,"3500",3.54406804435028
"1497","Enter the Dragon",1973,99,"850000",5.92941892571429
"1498","Entrapment",1999,113,"66000000",7.81954393554187
"1499","Envy",2004,99,"40000000",7.60205999132796
"1500","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The",2003,27,"6000",3.77815125038364
"1501","Epiphany: Il inferno",2002,16,"10000",4
"1502","Equilibrium",2002,107,"20000000",7.30102999566398
"1503","Era of Vampire, The",2002,90,"1000000",6
"1504","Eraser",1996,115,"100000000",8
"1505","Eraserhead",1977,89,"10000",4
"1506","Erin Brockovich",2000,130,"51000000",7.70757017609794
"1507","Ernest Goes to Camp",1987,92,"3000000",6.47712125471966
"1508","Ernest Rides Again",1993,96,"7000000",6.84509804001426
"1509","Ernest Saves Christmas",1988,95,"6000000",6.77815125038364
"1510","Erotic Adventures of Zorro, The",1972,102,"75000",4.8750612633917
"1511","Erotica",1961,68,"4000",3.60205999132796
"1512","Err On the Side of Caution",1997,94,"500000",5.69897000433602
"1513","Escanaba in da Moonlight",2001,91,"1000000",6
"1514","Escape from Chernobourg",1999,75,"2000",3.30102999566398
"1515","Escape from L.A.",1996,101,"50000000",7.69897000433602
"1516","Escape from New York",1981,99,"6000000",6.77815125038364
"1517","Escape from the Planet of the Apes",1971,98,"2500000",6.39794000867204
"1518","Eskimo",1933,117,"950000",5.97772360528885
"1519","Espera, La",2002,72,"100000",5
"1520","Espinazo del diablo, El",2001,108,"4500000",6.65321251377534
"1521","Eternal Embrace",2000,47,"96000",4.98227123303957
"1522","Eternal Sunshine of the Spotless Mind",2004,108,"20000000",7.30102999566398
"1523","Eulogy",2004,91,"10000000",7
"1524","EuroTrip",2004,90,"25000000",7.39794000867204
"1525","Eve's Bayou",1997,109,"5000000",6.69897000433602
"1526","Evelyn",2002,94,"10000000",7
"1527","Even Cowgirls Get the Blues",1993,99,"8000000",6.90308998699194
"1528","EvenHand",2002,92,"500000",5.69897000433602
"1529","Event Horizon",1997,96,"70000000",7.84509804001426
"1530","Ever After",1998,121,"26000000",7.41497334797082
"1531","Ever in My Heart",1933,68,"243000",5.38560627359831
"1532","Evergon",2002,32,"20000",4.30102999566398
"1533","Everlasting Piece, An",2000,103,"14000000",7.14612803567824
"1534","Every Little Girl's Dream",2002,16,"27000",4.43136376415899
"1535","Everyone Says I Love You",1996,101,"20000000",7.30102999566398
"1536","Everything Is Everything",2003,87,"10000",4
"1537","Everything Put Together",2000,87,"500000",5.69897000433602
"1538","Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,87,"2000000",6.30102999566398
"1539","Everything in This Country Must",2004,20,"250000",5.39794000867204
"1540","Everything's Gone Green",2005,19,"30000",4.47712125471966
"1541","Everything's Jake",2000,92,"900000",5.95424250943933
"1542","Evil Alien Conquerors",2002,89,"500000",5.69897000433602
"1543","Evil Cult",2003,90,"15000",4.17609125905568
"1544","Evil Dead II",1987,85,"3500000",6.54406804435028
"1545","Evil Dead, The",1981,86,"350000",5.54406804435028
"1546","Evita",1996,134,"55000000",7.74036268949424
"1547","Evolution",2001,101,"80000000",7.90308998699194
"1548","Ex-Lady",1933,67,"93000",4.96848294855393
"1549","Excessive Force",1993,90,"13000000",7.11394335230684
"1550","Executive Decision",1996,134,"55000000",7.74036268949424
"1551","Exit Wounds",2001,101,"33000000",7.51851393987789
"1552","Exodus",1960,208,"4000000",6.60205999132796
"1553","Exorcist II: The Heretic",1977,118,"14000000",7.14612803567824
"1554","Exorcist, The",1973,132,"1000000",6
"1555","Exorcist: The Beginning",2004,114,"30000000",7.47712125471966
"1556","Expiration",2003,102,"50000",4.69897000433602
"1557","Explosion",1969,98,"500000",5.69897000433602
"1558","Exquisite Corpse",2004,60,"3500",3.54406804435028
"1559","Extreme Measures",1996,118,"38000000",7.57978359661681
"1560","Extreme Ops",2002,94,"40000000",7.60205999132796
"1561","Eye for an Eye",1996,101,"20000000",7.30102999566398
"1562","Eye of the Beholder",1999,109,"15000000",7.17609125905568
"1563","Eyes Wide Shut",1999,159,"65000000",7.81291335664286
"1564","Eyes of Laura Mars",1978,104,"7000000",6.84509804001426
"1565","F.I.S.T.",1978,145,"11000000",7.04139268515823
"1566","Facade",2000,93,"6000000",6.77815125038364
"1567","Face to Face",2003,92,"8000",3.90308998699194
"1568","Face/Off",1997,133,"80000000",7.90308998699194
"1569","Faces",1968,130,"275000",5.43933269383026
"1570","Factotum",2005,94,"1000000",6
"1571","Faculty, The",1998,104,"15000000",7.17609125905568
"1572","Fahrenheit 9/11",2004,122,"6000000",6.77815125038364
"1573","Fair Game",1995,91,"50000000",7.69897000433602
"1574","Fair Wind to Java",1953,92,"1250000",6.09691001300806
"1575","Fait d'hiver",2001,6,"80000",4.90308998699194
"1576","Faithful",1996,91,"13000000",7.11394335230684
"1577","Faithless",1932,77,"203420",5.30839364997626
"1578","Fake ID",2003,86,"100000",5
"1579","Fakers",2004,85,"1800000",6.25527250510331
"1580","Fall",1997,93,"1000000",6
"1581","Fall",2000,97,"2000000",6.30102999566398
"1582","Fall of the Roman Empire, The",1964,184,"19000000",7.27875360095283
"1583","Falling Words",1997,19,"8000",3.90308998699194
"1584","Falls, The",2003,85,"75000",4.8750612633917
"1585","Family Affair, A",1937,69,"190000",5.27875360095283
"1586","Family Man, The",2000,125,"60000000",7.77815125038364
"1587","Family Plot",1976,121,"3000000",6.47712125471966
"1588","Fan, The",1996,114,"55000000",7.74036268949424
"1589","Fando y Lis",1967,93,"100000",5
"1590","Fandom",2004,96,"5000",3.69897000433602
"1591","Fantasia",1940,80,"2280000",6.35793484700045
"1592","Fantasia/2000",1999,75,"80000000",7.90308998699194
"1593","Fantasma dell'opera, Il",1998,106,"10000000",7
"1594","Far and Away",1992,140,"30000000",7.47712125471966
"1595","Far from Heaven",2002,107,"13500000",7.13033376849501
"1596","Far from India",2003,101,"10000",4
"1597","Farewell to Arms, A",1957,152,"4353000",6.6387886671574
"1598","Fargo",1996,98,"7000000",6.84509804001426
"1599","Fascination",2004,95,"5000000",6.69897000433602
"1600","Fascist of X-Mart, The",2003,9,"1000",3
"1601","Fast Food High",2003,92,"4500000",6.65321251377534
"1602","Fast Times at Ridgemont High",1982,90,"4500000",6.65321251377534
"1603","Fast and the Furious, The",1954,73,"66000",4.81954393554187
"1604","Fast and the Furious, The",2001,106,"38000000",7.57978359661681
"1605","Faster, Pussycat! Kill! Kill!",1965,83,"45000",4.65321251377534
"1606","Fatal Attraction",1987,123,"14000000",7.14612803567824
"1607","Father of the Bride Part II",1995,106,"30000000",7.47712125471966
"1608","Fathers' Day",1997,98,"85000000",7.92941892571429
"1609","Faust: Love of the Damned",2001,101,"6000000",6.77815125038364
"1610","Fear No Evil",1981,99,"840000",5.92427928606188
"1611","Fear X",2003,91,"6600000",6.81954393554187
"1612","Fear and Desire",1953,68,"20000",4.30102999566398
"1613","Fear and Loathing in Las Vegas",1998,118,"18500000",7.26717172840301
"1614","Fear of the Dark",2001,150,"30000",4.47712125471966
"1615","FearDotCom",2002,101,"42000000",7.6232492903979
"1616","Fearless Vampire Killers, The",1967,108,"2000000",6.30102999566398
"1617","Federal Hill",1994,97,"80000",4.90308998699194
"1618","Fedora",1978,114,"6727000",6.8278214276828
"1619","Feet First",1930,93,"647000",5.8109042806687
"1620","Fei ying",2004,99,"15000000",7.17609125905568
"1621","Female",1933,58,"286000",5.45636603312904
"1622","Female Trouble",1974,97,"25000",4.39794000867204
"1623","Femme Fatale",2002,114,"35000000",7.54406804435028
"1624","Feng yun xiong ba tian xia",1998,85,"10000000",7
"1625","Festen",1998,105,"1300000",6.11394335230684
"1626","Fever",1999,95,"6000000",6.77815125038364
"1627","Fever Pitch",2001,27,"25000",4.39794000867204
"1628","Fever Pitch",2005,98,"39690000",7.59868109890716
"1629","Few Good Men, A",1992,138,"33000000",7.51851393987789
"1630","Fiddler on the Roof",1971,181,"9000000",6.95424250943933
"1631","Field of Honor, A",1973,15,"1400",3.14612803567824
"1632","Fifteen Minute Show, The",2003,87,"3500",3.54406804435028
"1633","Fifth Element, The",1997,126,"90000000",7.95424250943933
"1634","Fight Club",1999,139,"63000000",7.79934054945358
"1635","Fightin' Fools",1941,9,"23627",4.3734085812956
"1636","Fighting Coast Guard",1951,86,"532111",5.72600223691743
"1637","Fighting Mad",1976,88,"600000",5.77815125038364
"1638","Film Geek",2005,78,"10000",4
"1639","Film School Confidential",2002,82,"75000",4.8750612633917
"1640","Final",2001,111,"80000",4.90308998699194
"1641","Final Destination",2000,98,"23000000",7.36172783601759
"1642","Final Destination 2",2003,90,"26000000",7.41497334797082
"1643","Final Fantasy: The Spirits Within",2001,106,"137000000",8.13672056715641
"1644","Final Sale",2004,14,"20000",4.30102999566398
"1645","Final Solution",2001,110,"1500000",6.17609125905568
"1646","Finders Keepers, Lovers Weepers!",1968,71,"82000",4.91381385238372
"1647","Finding Forrester",2000,136,"43000000",7.63346845557959
"1648","Finding Graceland",1998,106,"10000000",7
"1649","Finding Nemo",2003,100,"94000000",7.9731278535997
"1650","Finding Neo",2004,12,"8500",3.92941892571429
"1651","Fine and Dandy",2003,6,"1000",3
"1652","Finian's Rainbow",1968,141,"3500000",6.54406804435028
"1653","Fintar o Destino",1998,77,"850000",5.92941892571429
"1654","Fire Brigade, The",1926,90,"249556",5.39716801593953
"1655","Fire Dancer",2002,79,"1000000",6
"1656","Fire Over Afghanistan",2003,92,"155000",5.19033169817029
"1657","Firefox",1982,136,"21000000",7.32221929473392
"1658","Firestarter",1984,101,"15000000",7.17609125905568
"1659","Firestorm",1998,89,"19000000",7.27875360095283
"1660","Firm, The",1993,154,"42000000",7.6232492903979
"1661","First Blood",1982,97,"14000000",7.14612803567824
"1662","First Great Train Robbery, The",1979,110,"6000000",6.77815125038364
"1663","First Knight",1995,134,"75000000",7.8750612633917
"1664","First Love, Last Rites",1997,94,"300000",5.47712125471966
"1665","First Power, The",1990,98,"10000000",7
"1666","First Wives Club, The",1996,103,"26000000",7.41497334797082
"1667","First of May, The",1999,111,"2500000",6.39794000867204
"1668","Fish Burglars",2004,25,"15000",4.17609125905568
"1669","Fish Called Wanda, A",1988,108,"7500000",6.8750612633917
"1670","Fish in a Barrel",2001,85,"200000",5.30102999566398
"1671","Fisher King, The",1991,137,"24000000",7.38021124171161
"1672","Fishing for Trauster",2004,24,"20000",4.30102999566398
"1673","Five Graves to Cairo",1943,96,"855000",5.93196611472817
"1674","Five Guns West",1955,74,"60000",4.77815125038364
"1675","Fiza",2000,167,"1000000",6
"1676","Flame Barrier, The",1958,70,"100000",5
"1677","Flame of Barbary Coast",1945,91,"600000",5.77815125038364
"1678","Flash Gordon",1980,111,"35000000",7.54406804435028
"1679","Flats, The",2002,102,"500000",5.69897000433602
"1680","Flawless",1999,112,"27000000",7.43136376415899
"1681","Flesh",1968,105,"4000",3.60205999132796
"1682","Flesh & Blood",1985,117,"6500000",6.81291335664286
"1683","Flesh Suitcase",1995,90,"1000000",6
"1684","Flesh and the Devil",1926,113,"373000",5.57170883180869
"1685","Flesheater",1988,88,"60000",4.77815125038364
"1686","Flight of the Phoenix",2004,113,"45000000",7.65321251377534
"1687","Flintstones in Viva Rock Vegas, The",2000,90,"58000000",7.76342799356294
"1688","Flintstones, The",1994,91,"45000000",7.65321251377534
"1689","Flip",2004,15,"8000",3.90308998699194
"1690","Flirting with Disaster",1996,92,"7000000",6.84509804001426
"1691","Flossin",2001,81,"86000",4.93449845124357
"1692","Fly, The",1958,94,"500000",5.69897000433602
"1693","Fly, The",1986,92,"15000000",7.17609125905568
"1694","Flying Down to Rio",1933,89,"462000",5.66464197555613
"1695","Flying Dutchman, The",2001,89,"2000000",6.30102999566398
"1696","Focus Group",2004,29,"8000",3.90308998699194
"1697","Fog, The",1980,89,"1000000",6
"1698","Follow Me Home",1996,100,"220000",5.34242268082221
"1699","Follow Me Outside",2000,94,"1000000",6
"1700","Follow the Fleet",1936,110,"747000",5.8733206018154
"1701","Following",1998,69,"6000",3.77815125038364
"1702","Fomlesen i kattepine",1999,83,"2400000",6.38021124171161
"1703","Food of the Gods II",1989,91,"3500000",6.54406804435028
"1704","Foolish Wives",1922,384,"1100000",6.04139268515823
"1705","Fools for Scandal",1938,80,"1300000",6.11394335230684
"1706","Footlight Parade",1933,104,"703000",5.84695532501982
"1707","For Caroline",2002,18,"60000",4.77815125038364
"1708","For Love of the Game",1999,137,"50000000",7.69897000433602
"1709","For Me and My Gal",1942,104,"802000",5.90417436828416
"1710","For Whom the Bell Tolls",1943,168,"3000000",6.47712125471966
"1711","For Your Eyes Only",1981,127,"28000000",7.44715803134222
"1712","Forbidden Planet",1956,98,"1900000",6.27875360095283
"1713","Forced March",1989,104,"2700000",6.43136376415899
"1714","Foreign Affair, A",1948,116,"1500000",6.17609125905568
"1715","Foreign Correspondents",1999,102,"500000",5.69897000433602
"1716","Foreigner, The",2003,96,"20000000",7.30102999566398
"1717","Forever Amber",1947,138,"6000000",6.77815125038364
"1718","Forever Lulu",2000,99,"20000000",7.30102999566398
"1719","Forgotten, The",2004,94,"42000000",7.6232492903979
"1720","Forrest Gump",1994,142,"55000000",7.74036268949424
"1721","Forsaken, The",2001,90,"5000000",6.69897000433602
"1722","Fort Apache",1948,125,"2500000",6.39794000867204
"1723","Fortress",1993,95,"12000000",7.07918124604763
"1724","Fortress 2",1999,92,"11000000",7.04139268515823
"1725","Fortune Cookie, The",1966,125,"3705000",6.56878821231535
"1726","Forty Shades of Blue",2005,108,"1500000",6.17609125905568
"1727","Four Dead Batteries",2004,96,"77000",4.88649072517248
"1728","Four Feathers, The",2002,125,"80000000",7.90308998699194
"1729","Four Horsemen of the Apocalypse, The",1921,150,"800000",5.90308998699194
"1730","Four Rooms",1995,98,"4000000",6.60205999132796
"1731","Four Weddings and a Funeral",1994,117,"6000000",6.77815125038364
"1732","Four.50",2003,6,"5000",3.69897000433602
"1733","Frailty",2001,100,"11000000",7.04139268515823
"1734","Frame of Mind",2003,20,"30000",4.47712125471966
"1735","Francine St. Claire's Mail",2002,24,"10000",4
"1736","Francis",1950,91,"150000",5.17609125905568
"1737","Frankenfish",2004,84,"3000000",6.47712125471966
"1738","Frankenhooker",1990,85,"2500000",6.39794000867204
"1739","Frankenstein",1931,71,"291000",5.46389298898591
"1740","Frankenstein",1994,123,"45000000",7.65321251377534
"1741","Frankenstein - 1970",1958,83,"110000",5.04139268515823
"1742","Frankenstein Meets the Spacemonster",1965,79,"60000",4.77815125038364
"1743","Frankenstein's Daughter",1958,85,"60000",4.77815125038364
"1744","Frankie and Johnny",1966,87,"4500000",6.65321251377534
"1745","Fratello sole, sorella luna",1972,121,"3000000",6.47712125471966
"1746","Freaked",1993,86,"11000000",7.04139268515823
"1747","Freaks",1932,64,"310607",5.49221123898789
"1748","Freaky Friday",2003,97,"26000000",7.41497334797082
"1749","Freddy Got Fingered",2001,87,"15000000",7.17609125905568
"1750","Freddy Vs. Jason",2003,97,"25000000",7.39794000867204
"1751","Freddy's Dead: The Final Nightmare",1991,93,"5000000",6.69897000433602
"1752","Free Money",1998,91,"30000000",7.47712125471966
"1753","Free, White and 21",1963,104,"40000",4.60205999132796
"1754","Freedom Downtime",2001,121,"25000",4.39794000867204
"1755","Freeway",1996,102,"3000000",6.47712125471966
"1756","Freeway II: Confessions of a Trickbaby",1999,90,"2000000",6.30102999566398
"1757","Freeze Frame",2004,99,"2000000",6.30102999566398
"1758","Frei parken",1998,7,"2000",3.30102999566398
"1759","Freighters of Destiny",1931,57,"39000",4.5910646070265
"1760","French Connection, The",1971,104,"1800000",6.25527250510331
"1761","French Quarter Undercover",1985,84,"2500000",6.39794000867204
"1762","Frenzy",1972,116,"3500000",6.54406804435028
"1763","Frequency",2000,118,"31000000",7.49136169383427
"1764","Freud",1962,139,"4000000",6.60205999132796
"1765","Freud and Darwin Sitting in a Tree",2000,27,"17000",4.23044892137827
"1766","Frida",2002,123,"12000000",7.07918124604763
"1767","Friday",1995,91,"3500000",6.54406804435028
"1768","Friday After Next",2002,85,"20000000",7.30102999566398
"1769","Friday Night Lights",2004,117,"30000000",7.47712125471966
"1770","Friday the 13th",1980,95,"700000",5.84509804001426
"1771","Friday the 13th Part 2",1981,87,"1000000",6
"1772","Friday the 13th Part 3: 3D",1982,91,"4000000",6.60205999132796
"1773","Friday the 13th Part VII: The New Blood",1988,90,"3500000",6.54406804435028
"1774","Friday the 13th Part VIII: Jason Takes Manhattan",1989,100,"5000000",6.69897000433602
"1775","Friday the 13th: The Final Chapter",1984,90,"1800000",6.25527250510331
"1776","Friendly Persuasion",1956,137,"3000000",6.47712125471966
"1777","Fright Night",1985,106,"9000000",6.95424250943933
"1778","Frisco Jenny",1932,71,"286000",5.45636603312904
"1779","Fritz the Cat",1972,80,"1000000",6
"1780","From Beyond",1986,85,"4500000",6.65321251377534
"1781","From Dusk Till Dawn",1996,108,"20000000",7.30102999566398
"1782","From Hell",2001,122,"35000000",7.54406804435028
"1783","From Here to Eternity",1953,118,"1650000",6.21748394421391
"1784","From Justin to Kelly",2003,90,"12000000",7.07918124604763
"1785","From Russia with Love",1963,115,"2000000",6.30102999566398
"1786","Front Page, The",1974,105,"4000000",6.60205999132796
"1787","Frostbite",2005,83,"2400000",6.38021124171161
"1788","Frusta e il corpo, La",1963,87,"66500",4.8228216453031
"1789","Fugitive, The",1993,130,"44000000",7.64345267648619
"1790","Fukkatsu no hi",1980,108,"16000000",7.20411998265593
"1791","Full Clip",2004,95,"500000",5.69897000433602
"1792","Full Frontal",2002,101,"2000000",6.30102999566398
"1793","Full Metal Jacket",1987,116,"30000000",7.47712125471966
"1794","Full Monty, The",1997,91,"3500000",6.54406804435028
"1795","Fun with Dick and Jane",1977,95,"3000000",6.47712125471966
"1796","Funny Face",1957,103,"3000000",6.47712125471966
"1797","Funny Girl",1968,155,"14100000",7.14921911265538
"1798","Fury, The",1978,118,"5500000",6.74036268949424
"1799","Future of Food, The",2004,88,"750000",5.8750612633917
"1800","G.I. Jane",1997,124,"50000000",7.69897000433602
"1801","G.O.R.A.",2004,127,"5000000",6.69897000433602
"1802","Gabbianella e il gatto, La",1998,75,"6000000",6.77815125038364
"1803","Gaily, Gaily",1969,107,"8000000",6.90308998699194
"1804","Gal Young 'Un",1979,105,"94000",4.9731278535997
"1805","Galaxy Quest",1999,102,"45000000",7.65321251377534
"1806","Galaxy of the Dinosaurs",1992,65,"1250",3.09691001300806
"1807","Gallavants",1984,100,"5000000",6.69897000433602
"1808","Gallopin' Gaucho, The",1928,6,"4249",3.62828673108951
"1809","Game of Their Lives, The",2005,101,"20000000",7.30102999566398
"1810","Game, The",1997,128,"50000000",7.69897000433602
"1811","Gamers, The",2003,15,"9000",3.95424250943932
"1812","Gandhi",1982,188,"22000000",7.34242268082221
"1813","Gangs of New York",2002,166,"97000000",7.98677173426625
"1814","Gangster Story",1960,65,"75000",4.8750612633917
"1815","Ganz und gar",2003,95,"1400000",6.14612803567824
"1816","Garage Days",2002,106,"6000000",6.77815125038364
"1817","Garden State",2004,109,"2500000",6.39794000867204
"1818","Garden of Allah, The",1936,79,"2200000",6.34242268082221
"1819","Garfield",2004,80,"50000000",7.69897000433602
"1820","Gathering, The",2002,83,"18000000",7.25527250510331
"1821","Gattaca",1997,101,"36000000",7.55630250076729
"1822","Gatto a nove code, Il",1971,115,"1000000",6
"1823","Gatto nel cervello, Un",1990,93,"100000",5
"1824","Gauntlet, The",1977,109,"5500000",6.74036268949424
"1825","Gay Divorcee, The",1934,107,"520000",5.7160033436348
"1826","Gay by Dawn",2004,9,"8000",3.90308998699194
"1827","General's Daughter, The",1999,116,"60000000",7.77815125038364
"1828","Genghis Khan",2004,120,"50000000",7.69897000433602
"1829","Gentleman's Agreement",1947,118,"2000000",6.30102999566398
"1830","Gentlemen Prefer Blondes",1928,75,"352000",5.54654266347813
"1831","George and the Dragon",2004,93,"32000000",7.50514997831991
"1832","George of the Jungle",1997,92,"55000000",7.74036268949424
"1833","Georgy Girl",1966,99,"400000",5.60205999132796
"1834","Geronimo: An American Legend",1993,115,"50000000",7.69897000433602
"1835","Gerry",2002,105,"3500000",6.54406804435028
"1836","Get Carter",2000,104,"40000000",7.60205999132796
"1837","Get Over It",2001,87,"10000000",7
"1838","Get Shorty",1995,105,"30250000",7.48072537898849
"1839","Get a Job",1998,93,"750000",5.8750612633917
"1840","Get on the Bus",1996,120,"2400000",6.38021124171161
"1841","Getaway, The",1972,122,"3352254",6.52533691766086
"1842","Gettysburg",1993,259,"25000000",7.39794000867204
"1843","Ghost",1990,128,"22000000",7.34242268082221
"1844","Ghost Busters",1984,107,"30000000",7.47712125471966
"1845","Ghost Ship",2002,91,"35000000",7.54406804435028
"1846","Ghost Town",1956,77,"100000",5
"1847","Ghost World",2000,111,"7000000",6.84509804001426
"1848","Ghost and the Darkness, The",1996,109,"55000000",7.74036268949424
"1849","Ghost of Slumber Mountain, The",1918,19,"3000",3.47712125471966
"1850","Ghostbite",1996,76,"250000",5.39794000867204
"1851","Ghosts of Mars",2001,98,"28000000",7.44715803134222
"1852","Ghosts of Mississippi",1996,130,"36000000",7.55630250076729
"1853","Ghosts of the Abyss",2003,43,"13000000",7.11394335230684
"1854","Ghoulies",1985,82,"1000000",6
"1855","Ghouls, The",2003,81,"9000",3.95424250943932
"1856","Giant",1956,201,"5400000",6.73239375982297
"1857","Giant Gila Monster, The",1959,74,"138000",5.13987908640124
"1858","Giant Spider Invasion, The",1975,84,"300000",5.47712125471966
"1859","Giardini dell'Eden, I",1998,95,"4000000",6.60205999132796
"1860","Gift, The",2000,111,"10000000",7
"1861","Gigi",1958,119,"3319355",6.5210537020309
"1862","Gigli",2003,121,"54000000",7.73239375982297
"1863","Ginger Snaps",2000,110,"5000000",6.69897000433602
"1864","Ginger Snaps: Unleashed",2004,94,"3500000",6.54406804435028
"1865","Gingerbread Man, The",1998,114,"25000000",7.39794000867204
"1866","Giovane Toscanini, Il",1988,109,"14000000",7.14612803567824
"1867","Girl 6",1996,108,"12000000",7.07918124604763
"1868","Girl Crazy",1943,99,"1140850",6.05722854673661
"1869","Girl Missing",1933,69,"107000",5.02938377768521
"1870","Girl Play",2004,80,"1000000",6
"1871","Girl Wrestler",2003,56,"230000",5.36172783601759
"1872","Girl from Missouri, The",1934,70,"511000",5.70842090013471
"1873","Girl, Interrupted",1999,127,"24000000",7.38021124171161
"1874","Give My Regards to Broad Street",1984,108,"9000000",6.95424250943933
"1875","Give and Take, and Take",2003,80,"18000",4.25527250510331
"1876","Gladiator",2000,155,"103000000",8.01283722470517
"1877","Glenn Tilbrook: One for the Road",2004,70,"50000",4.69897000433602
"1878","Glitter",2001,104,"22000000",7.34242268082221
"1879","Global Heresy",2002,106,"12000000",7.07918124604763
"1880","Gloria",1999,108,"30000000",7.47712125471966
"1881","Glory",1989,122,"18000000",7.25527250510331
"1882","Glove, The",2003,11,"4500",3.65321251377534
"1883","Gmar Gavi'a",1991,105,"800000",5.90308998699194
"1884","Go",1999,103,"6500000",6.81291335664286
"1885","Go Fish",1994,84,"15000",4.17609125905568
"1886","Go-Between, The",1970,118,"1000000",6
"1887","Goat on Fire and Smiling Fish",1999,90,"40000",4.60205999132796
"1888","God's Army",2000,108,"300000",5.47712125471966
